ID,LonX,LatY,Label,aiportname,city,country
BTT,-151.529007,66.913902,Bettles,Bettles Airport,Bettles,United States
BOS,-71.005203,42.3643,Boston,General Edward Lawrence Logan International Airport,Boston,United States
OAK,-122.221001,37.721298,Oakland,Metropolitan Oakland International Airport,Oakland,United States
OMA,-95.894096,41.3032,Omaha,Eppley Airfield,Omaha,United States
OGG,-156.429993,20.8986,Kahului,Kahului Airport,Kahului,United States
ICT,-97.433098,37.649899,Wichita,Wichita Eisenhower National Airport,Wichita,United States
MCI,-94.713898,39.2976,Kansas City,Kansas City International Airport,Kansas City,United States
MSN,-89.337502,43.1399,Madison,Dane County Regional Truax Field,Madison,United States
PHX,-112.012001,33.434299,Phoenix,Phoenix Sky Harbor International Airport,Phoenix,United States
SFO,-122.375,37.618999,San Francisco,San Francisco International Airport,San Francisco,United States
GNV,-82.271797,29.6901,Gainesville,Gainesville Regional Airport,Gainesville,United States
MEM,-89.9767,35.0424,Memphis,Memphis International Airport,Memphis,United States
LAX,-118.407997,33.942501,Los Angeles,Los Angeles International Airport,Los Angeles,United States
CLE,-81.8498,41.411701,Cleveland,Cleveland Hopkins International Airport,Cleveland,United States
CVG,-84.667801,39.048801,Cincinnati,Cincinnati Northern Kentucky International Airport,Cincinnati,United States
JNU,-134.576004,58.355,Juneau,Juneau International Airport,Juneau,United States
EWR,-74.168701,40.692501,Newark,Newark Liberty International Airport,Newark,United States
BOI,-116.223,43.5644,Boise,Boise Air Terminal/Gowen Field,Boise,United States
DAL,-96.851799,32.847099,Dallas,Dallas Love Field,Dallas,United States
KOA,-156.045603,19.738783,Kona,Ellison Onizuka Kona International At Keahole Airport,Kona,United States
MYR,-78.928299,33.679699,Myrtle Beach,Myrtle Beach International Airport,Myrtle Beach,United States
DCA,-77.037697,38.8521,Washington,Ronald Reagan Washington National Airport,Washington,United States
ADQ,-152.494003,57.75,Kodiak,Kodiak Airport,Kodiak,United States
FLL,-80.152702,26.072599,Fort Lauderdale,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States
SLC,-111.977997,40.788399,Salt Lake City,Salt Lake City International Airport,Salt Lake City,United States
