Source,Target
BET,MLL
BET,NME
KUK,NUP
NME,OOK
NUP,BET
OOK,TNK
ABL,SHG
BET,KUK
BET,OOK
CKD,SLQ
HSL,KYU
KKA,UNK
KWK,BET
KYU,GAL
MLL,RSH
NME,TNK
OBU,ABL
OBU,OTZ
OTZ,SHG
RSH,BET
SCM,BET
SHG,OBU
SLQ,ANI
WBB,UNK
RSH,ANI
ABL,OTZ
KKA,SKK
KVL,OTZ
KVL,PHO
OME,UNK
OME,WBB
OTZ,PHO
SKK,OME
SKK,UNK
WAA,OME
AKP,FAI
BTT,AKP
FAI,BTT
FAI,GAL
HSL,HUS
HUS,FAI
KYU,FAI
CLT,CRW
CLT,PWM
DCA,CRW
DCA,PWM
DFW,CRW
DFW,SPI
LAS,LAX
PHL,PWM
MSY,ORD
ATL,CHA
ATL,CID
ATL,CLT
ATL,CRW
ATL,CVG
ATL,DEN
ATL,DFW
ATL,EVV
ATL,FWA
ATL,GSO
ATL,GSP
ATL,LEX
ATL,MIA
ATL,MSP
ATL,ORD
ATL,PHL
ATL,PHX
ATL,PWM
ATL,ROA
ATL,SYR
ATL,TYS
ATL,XNA
DTW,MSY
HNL,LAX
JFK,MSY
LAX,OGG
MDT,ATL
MSP,MSY
ALB,ATL
ATL,BDL
ATL,BNA
ATL,BOS
ATL,BWI
ATL,CLE
ATL,CMH
ATL,DCA
ATL,DTW
ATL,EWR
ATL,IAD
ATL,IND
ATL,JAX
ATL,JFK
ATL,LGA
ATL,MCI
ATL,MCO
ATL,MEM
ATL,MSY
ATL,PIT
ATL,RDU
ATL,RIC
ATL,SEA
ATL,SLC
ATL,STL
MKE,ATL
SFO,ATL
TPA,ATL
ABQ,LAX
ADQ,ANC
ANC,ANI
ANC,BET
ANC,FAI
ANC,LAX
ANC,UNK
ATL,BHM
ATL,CHS
ATL,HSV
ATL,JAN
ATL,LAX
ATL,ORF
ATL,PBI
ATL,PDX
ATL,PNS
ATL,RSW
ATL,SAN
ATL,SAV
AUS,LAX
BDL,LAX
BNA,LAX
BOS,LAX
BOS,PDX
BOS,SAN
BOS,SEA
BUR,PDX
BUR,SEA
CMH,LAX
DCA,LAX
DCA,PDX
DEN,LAX
DEN,SEA
DFW,LAX
DFW,PDX
DFW,SAN
DFW,SEA
DFW,SFO
DFW,SNA
ELP,LAX
EUG,PDX
EWR,SEA
FAT,LAX
HNL,OAK
HNL,SJC
IAH,LAX
IND,LAX
JFK,LAX
JFK,SAN
JFK,SEA
JFK,SFO
JNU,KTN
KOA,LAX
KOA,OAK
KOA,SJC
KTN,SEA
LAX,LIH
LAX,MCO
LAX,MIA
LAX,OKC
LAX,ORD
LAX,PDX
LAX,PHX
LAX,PIT
LAX,RDU
LAX,RNO
LAX,SAN
LAX,SEA
LAX,SFO
LAX,SMF
LAX,STL
LAX,TUS
LGB,PDX
LGB,SEA
LIH,OAK
LIH,SJC
MCI,SEA
MCO,SAN
MCO,SEA
MIA,SFO
MSP,LAX
MSP,SEA
OAK,OGG
OAK,PDX
OAK,SEA
OGG,SJC
OGG,SMF
OME,OTZ
ONT,PDX
ONT,SEA
ORD,PDX
ORD,SAN
ORD,SEA
ORD,SFO
PDX,PHX
PDX,SAN
PDX,SFO
PDX,SJC
PDX,SNA
PHL,SEA
PHX,SEA
PSP,SFO
SAN,SEA
SEA,HNL
SEA,SFO
SEA,SJC
SEA,SMF
SEA,SNA
SEA,STL
SJC,LAX
SLC,LAX
ABQ,ATL
ATL,AUS
ATL,BUF
ATL,CAE
ATL,DAY
ATL,ELP
ATL,FLL
ATL,GNV
ATL,GPT
ATL,IAH
ATL,ICT
ATL,ILM
ATL,LAS
ATL,LIT
ATL,MYR
ATL,OKC
ATL,OMA
ATL,ROC
ATL,SAT
ATL,SNA
ATL,SRQ
ATL,TUS
ATL,VPS
AUS,JFK
BOS,BUF
BOS,CLT
BOS,DCA
BOS,DFW
BOS,JFK
BOS,ORD
BOS,PHL
BOS,PHX
BOS,PIT
BOS,RIC
CLT,JFK
DCA,FLL
DCA,MCO
DCA,TPA
JFK,LAS
JFK,MCO
JFK,ORD
JFK,PHX
JFK,RDU
JFK,TPA
LGA,PBI
DFW,MSY
MIA,MSY
LAX,MSY
SEA,IAH
ABE,ATL
AGS,ATL
ANC,SEA
ATL,AVP
ATL,BMI
ATL,BTR
ATL,BTV
ATL,CAK
ATL,CHO
ATL,DAL
ATL,DSM
ATL,EYW
ATL,FAY
ATL,FNT
ATL,GRR
ATL,HOU
ATL,HPN
ATL,MDW
ATL,MGM
ATL,MHT
ATL,MLI
ATL,MOB
ATL,MSN
ATL,OAJ
ATL,PHF
ATL,PIA
ATL,PVD
ATL,SDF
ATL,SGF
ATL,SMF
ATL,TLH
ATL,TUL
AUS,MCO
BDL,MCO
BNA,JFK
BNA,LGA
BOS,CHS
BOS,DTW
BOS,JAX
BOS,LAS
BOS,LGA
BOS,MCO
BOS,RDU
BUF,JFK
BWI,JFK
CHO,LGA
CHS,JFK
CLE,JFK
CLT,CVG
CLT,DTW
CLT,LGA
CLT,MSP
CLT,SLC
CMH,JFK
CMH,LGA
CVG,DCA
CVG,DFW
CVG,JFK
CVG,ORD
CVG,PHL
DAY,LGA
DCA,DTW
DCA,JFK
DCA,LGA
DCA,MEM
DCA,MSP
DCA,OMA
DEN,JFK
DFW,DTW
DFW,JFK
DFW,LGA
DFW,MEM
DFW,MSP
DFW,SLC
DTW,LGA
DTW,MIA
DTW,ORD
DTW,PDX
DTW,PHL
DTW,PHX
DTW,PWM
DTW,SAN
FLL,JFK
FLL,LGA
FLL,RDU
GSO,LGA
HPN,MCO
IAD,JFK
ILM,LGA
IND,JFK
JAX,JFK
JFK,MIA
JFK,ORF
JFK,PDX
JFK,PIT
JFK,ROC
JFK,SAV
JFK,SLC
JFK,SYR
LAS,SEA
LGA,MCO
LGA,MIA
LGA,MSY
LGA,ORD
LGA,ORF
LGA,PIT
LGA,PWM
LGA,RDU
LGA,RIC
LGA,RSW
LGA,SDF
LGA,SRQ
LGA,STL
LGA,TPA
LGA,TYS
LGB,SLC
MCO,RIC
MEM,MSY
MEM,ORD
MIA,MSP
MSP,ORD
MSP,PHL
MSP,PHX
MSP,SAN
MSP,SFO
MSY,SLC
ORD,SLC
PDX,SLC
PHL,RDU
PHL,SLC
PHX,SLC
SAN,SLC
SEA,SLC
SFO,HNL
SLC,CVG
CVG,DEN
DEN,DFW
DEN,DTW
DEN,LGA
DEN,MEM
DEN,MSP
DEN,MSY
DEN,PHX
DEN,SLC
AMA,MDW
AUS,DEN
AUS,SMF
BHM,MCO
BNA,MCO
BNA,PVD
BOS,BWI
BUF,MCO
BWI,CLT
BWI,DTW
BWI,PHX
BWI,RDU
BWI,SLC
CHS,TPA
CLE,DEN
CLT,MCO
CMH,RNO
CRP,LBB
DAL,SEA
DAL,SFO
DAL,SLC
DCA,RSW
DEN,BNA
DEN,IND
DEN,LAS
DEN,MCI
DEN,MCO
DEN,MDW
DEN,MKE
DEN,OKC
DEN,OMA
DEN,ORF
DEN,SAN
DEN,SNA
DEN,TPA
DFW,AUS
DSM,PHX
DTW,LAX
DTW,MDW
ELP,PHL
EWR,MSY
EYW,TPA
FLL,AUS
FLL,PHX
FLL,SFO
FLL,TPA
HOU,ISP
HOU,PVD
HRL,MAF
IND,MCO
IND,TPA
ISP,SNA
LAS,PHX
LAS,RDU
LAS,SLC
LAX,OAK
LAX,PWM
LBB,HRL
LIT,STL
MCI,LAX
MCI,MCO
MCI,MSP
MCI,PHL
MCO,MEM
MCO,MKE
MCO,MSP
MCO,ORF
MCO,PHL
MCO,PHX
MCO,PIT
MCO,PVD
MCO,RDU
MCO,SAT
MCO,SDF
MDW,MSP
MEM,LAS
MHT,MSP
MKE,MSP
MKE,PHX
MSP,OAK
MSP,STL
MSY,AUS
OAK,CMH
OAK,OKC
OMA,SAN
PDX,DEN
PDX,OKC
PHL,DEN
PHL,FLL
PHL,ICT
PHL,PHX
PHX,ABQ
PHX,OAK
PHX,ONT
PHX,SAN
PHX,SJC
PHX,SNA
PVD,SAN
PVD,SLC
RDU,TPA
SAN,SDF
SAT,PHX
SFO,DEN
SFO,ORF
SLC,MHT
SLC,OAK
SLC,TUS
SMF,PHX
STL,DEN
STL,DFW
STL,DTW
STL,PHL
TPA,BDL
TPA,CMH
TPA,PDX
TPA,PHX
TPA,SEA
TUS,SJC
EUG,LAX
LAS,AUS
LAS,RNO
SFB,SPI
HNL,LAS
HNL,PDX
HNL,PHX
HNL,SAN
OGG,SEA
MIA,BWI
BOS,MSY
KTB,CGA
KTN,KTB
ATL,SJC
HNL,ATL
AKN,ANC
ANC,MCG
ANI,MCG
BOS,ISP
IAD,MSY
IAH,MSY
HNL,OGG
KOA,OGG
BOS,FLL
BOS,MYR
BWI,DFW
BWI,FLL
BWI,LAS
BWI,MSP
DEN,FLL
DEN,IAH
DEN,ORD
DFW,FLL
DFW,LAS
DFW,MCO
DFW,ORD
DFW,PHL
DFW,PHX
DFW,TPA
DTW,FLL
DTW,IAH
DTW,LAS
DTW,MCO
DTW,MYR
DTW,RSW
DTW,TPA
FLL,LAX
FLL,MCO
FLL,ORD
IAH,MSP
IAH,ORD
LAS,MSP
LAS,OAK
LAS,ORD
LAS,PDX
LAS,PHL
LAS,SAN
LGA,MYR
MCO,ORD
MYR,PHL
ORD,RSW
ORD,TPA
SFB,MIA
BOS,MSP
JFK,MSP
MSP,PSP
MSP,RSW
ABQ,DEN
ABQ,ORD
ALB,EWR
AMA,DEN
ANC,ORD
AUS,ORD
AUS,SFO
BDL,ORD
BNA,ORD
BOI,DEN
BOS,DEN
BOS,EWR
BOS,IAD
BOS,SFO
BUF,ORD
BWI,CLE
BWI,DEN
BWI,LAX
BWI,ORD
CID,DEN
CID,ORD
CLE,CLT
CLE,DFW
CLE,LGA
CLE,MSP
CLE,ORD
CLT,EWR
CLT,IAD
CLT,IAH
CLT,ORD
CMH,ORD
CVG,EWR
CVG,IAH
DAY,ORD
DCA,DEN
DCA,ORD
DEN,CMH
DEN,DSM
DEN,EUG
DEN,FAR
DEN,FAT
DEN,FMN
DEN,FSD
DEN,LIT
DEN,MIA
DEN,MSN
DEN,ONT
DEN,PIR
DEN,PSP
DEN,RSW
DEN,SAT
DEN,SMF
DEN,TUS
DEN,TYS
DFW,EWR
DFW,IAD
DFW,IAH
DSM,ORD
DTW,EWR
DTW,IAD
EWR,BNA
EWR,FLL
EWR,MCO
EWR,MIA
EWR,MSP
EWR,ORD
EWR,PBI
EWR,PHX
EWR,PWM
EWR,RSW
EWR,TPA
EYW,FLL
EYW,RSW
FAR,ORD
FAT,LAS
FSD,ORD
FWA,ORD
GNV,MCO
GNV,TPA
GRR,ORD
HNL,LIH
HPN,ORD
HSV,ORD
IAD,CRW
IAD,DEN
IAD,LAX
IAD,MIA
IAD,MSP
IAD,OMA
IAD,PWM
IAD,TPA
IAH,CRW
IAH,LAS
IAH,LGA
IAH,MCO
IAH,MEM
IAH,MIA
IAH,PHL
IAH,PHX
IAH,SFO
IAH,SLC
ICT,ORD
IND,ORD
JAX,ORD
JAX,TPA
LAS,SFO
LEX,ORD
LIT,ORD
MCI,ORD
MCI,SFO
MCO,PNS
MCO,RSW
MCO,TLH
MDT,ORD
MIA,ORD
MKE,ORD
MLI,ORD
MSN,ORD
MYR,ORD
OKC,ORD
OMA,ORD
ORD,CRW
ORD,PHL
ORD,PHX
ORD,PIA
ORD,PIT
ORD,PWM
ORD,RDU
ORD,RIC
ORD,ROC
ORD,SAT
ORD,SDF
ORD,SGF
ORD,SNA
ORD,SPI
ORD,STL
ORD,SYR
ORD,TUL
ORD,TYS
ORD,XNA
PBI,TPA
PDX,SEA
PHL,SFO
PHX,SFO
PNS,TPA
RDU,SFO
RNO,DEN
SAT,LAX
SFO,SLC
SJC,DEN
SNA,SFO
TLH,TPA
TUL,DEN
