Source,Target
15438,20301
15438,20316
15438,20321
15438,20340
15438,20504
15438,20708
15438,20709
15438,20712
15438,20758
15438,20959
15438,21102
15438,21118
15438,21321
15438,21346
15438,21545
15438,21712
15438,21713
15438,21732
15438,21738
15438,21746
15438,21935
15438,21944
15438,21981
15438,22104
15438,22118
15438,22132
15438,22135
15438,22149
15438,22150
15438,22156
15438,29339
15438,39301
20138,20301
20138,20316
20138,20321
20138,20340
20138,20504
20138,20521
20138,20522
20138,20708
20138,20709
20138,20712
20138,20758
20138,20909
20138,21102
20138,21116
20138,21118
20138,21123
20138,21174
20138,21193
20138,21321
20138,21346
20138,21359
20138,21500
20138,21513
20138,21514
20138,21515
20138,21516
20138,21544
20138,21545
20138,21708
20138,21713
20138,21714
20138,21717
20138,21719
20138,21732
20138,21735
20138,21738
20138,21744
20138,21746
20138,21753
20138,21935
20138,21944
20138,21971
20138,21974
20138,21981
20138,21986
20138,21987
20138,22104
20138,22107
20138,22108
20138,22109
20138,22110
20138,22111
20138,22116
20138,22118
20138,22121
20138,22132
20138,22135
20138,22140
20138,22149
20138,22150
20138,22156
20138,29339
20138,29701
20138,39301
20301,20316
20301,20321
20301,20340
20301,20504
20301,20521
20301,20522
20301,20708
20301,20709
20301,20712
20301,20758
20301,20909
20301,21102
20301,21116
20301,21118
20301,21123
20301,21174
20301,21193
20301,21321
20301,21346
20301,21359
20301,21500
20301,21513
20301,21514
20301,21515
20301,21516
20301,21544
20301,21545
20301,21708
20301,21713
20301,21714
20301,21717
20301,21719
20301,21732
20301,21735
20301,21738
20301,21744
20301,21746
20301,21753
20301,21935
20301,21944
20301,21971
20301,21974
20301,21981
20301,21986
20301,21987
20301,22104
20301,22107
20301,22108
20301,22109
20301,22110
20301,22111
20301,22116
20301,22118
20301,22121
20301,22132
20301,22135
20301,22140
20301,22149
20301,22150
20301,22156
20301,29339
20301,29701
20301,39301
20316,20321
20316,20340
20316,20504
20316,20521
20316,20522
20316,20708
20316,20709
20316,20712
20316,20758
20316,20909
20316,20959
20316,21102
20316,21116
20316,21118
20316,21123
20316,21174
20316,21193
20316,21321
20316,21346
20316,21359
20316,21500
20316,21513
20316,21514
20316,21515
20316,21516
20316,21544
20316,21545
20316,21708
20316,21712
20316,21713
20316,21714
20316,21717
20316,21719
20316,21732
20316,21735
20316,21738
20316,21744
20316,21746
20316,21753
20316,21935
20316,21944
20316,21971
20316,21974
20316,21981
20316,21986
20316,21987
20316,22104
20316,22107
20316,22108
20316,22109
20316,22110
20316,22111
20316,22116
20316,22118
20316,22121
20316,22132
20316,22135
20316,22140
20316,22149
20316,22150
20316,22156
20316,29339
20316,29701
20316,39301
20321,20340
20321,20504
20321,20522
20321,20708
20321,20709
20321,20712
20321,20758
20321,20959
20321,21102
20321,21118
20321,21123
20321,21321
20321,21346
20321,21359
20321,21513
20321,21544
20321,21545
20321,21712
20321,21713
20321,21714
20321,21732
20321,21738
20321,21746
20321,21935
20321,21944
20321,21981
20321,21987
20321,22104
20321,22108
20321,22118
20321,22132
20321,22135
20321,22149
20321,22150
20321,22156
20321,29339
20321,29701
20321,39301
20340,20504
20340,20522
20340,20708
20340,20709
20340,20712
20340,20758
20340,20959
20340,21102
20340,21118
20340,21321
20340,21346
20340,21359
20340,21513
20340,21545
20340,21712
20340,21713
20340,21714
20340,21732
20340,21738
20340,21746
20340,21935
20340,21944
20340,21981
20340,21987
20340,22104
20340,22108
20340,22118
20340,22132
20340,22135
20340,22149
20340,22150
20340,22156
20340,29339
20340,39301
20504,20522
20504,20708
20504,20709
20504,20712
20504,20758
20504,20959
20504,21102
20504,21118
20504,21123
20504,21321
20504,21346
20504,21359
20504,21513
20504,21544
20504,21545
20504,21712
20504,21713
20504,21714
20504,21732
20504,21738
20504,21746
20504,21935
20504,21944
20504,21981
20504,21987
20504,22104
20504,22108
20504,22118
20504,22132
20504,22135
20504,22149
20504,22150
20504,22156
20504,29339
20504,29701
20504,39301
20521,20522
20521,20709
20521,20758
20521,20909
20521,21116
20521,21123
20521,21174
20521,21193
20521,21346
20521,21359
20521,21500
20521,21513
20521,21514
20521,21515
20521,21516
20521,21544
20521,21708
20521,21714
20521,21717
20521,21719
20521,21735
20521,21744
20521,21753
20521,21935
20521,21971
20521,21974
20521,21981
20521,21986
20521,21987
20521,22107
20521,22108
20521,22109
20521,22110
20521,22111
20521,22116
20521,22118
20521,22121
20521,22132
20521,22140
20521,22150
20521,29701
20522,20708
20522,20709
20522,20712
20522,20758
20522,20909
20522,21102
20522,21116
20522,21118
20522,21123
20522,21174
20522,21193
20522,21321
20522,21346
20522,21359
20522,21500
20522,21513
20522,21514
20522,21515
20522,21516
20522,21544
20522,21545
20522,21708
20522,21713
20522,21714
20522,21717
20522,21719
20522,21732
20522,21735
20522,21738
20522,21744
20522,21746
20522,21753
20522,21935
20522,21944
20522,21971
20522,21974
20522,21981
20522,21986
20522,21987
20522,22104
20522,22107
20522,22108
20522,22109
20522,22110
20522,22111
20522,22116
20522,22118
20522,22121
20522,22132
20522,22135
20522,22140
20522,22149
20522,22150
20522,22156
20522,29339
20522,29701
20522,39301
