Source,Target
14854,20107
14854,20124
14854,20138
14854,20301
14854,20316
14854,20342
14854,20344
14854,20522
14854,20530
14854,20535
14854,20703
14854,20709
14854,20725
14854,20729
14854,20755
14854,20758
14854,20916
14854,20926
14854,20946
14854,21106
14854,21108
14854,21132
14854,21142
14854,21150
14854,21162
14854,21167
14854,21178
14854,21196
14854,21307
14854,21333
14854,21337
14854,21346
14854,21351
14854,21353
14854,21367
14854,21373
14854,21503
14854,21523
14854,21526
14854,21541
14854,21544
14854,21556
14854,21562
14854,21563
14854,21701
14854,21704
14854,21714
14854,21720
14854,21731
14854,21745
14854,21755
14854,21759
14854,21903
14854,21911
14854,21935
14854,21945
14854,21946
14854,21956
14854,21969
14854,21970
14854,21974
14854,21981
14854,21985
14854,21988
14854,21990
14854,22101
14854,22102
14854,22108
14854,22113
14854,22114
14854,22117
14854,22118
14854,22119
14854,22124
14854,22129
14854,22130
14854,22133
14854,22137
14854,22139
14854,22141
14854,22145
14854,22146
14854,22151
14854,22152
14854,29323
14854,29393
14854,29550
14854,29701
14854,29762
14873,15019
14873,15029
14873,15410
14873,15433
14873,15438
14873,15454
14873,15616
14873,20104
14873,20119
14873,20122
14873,20136
14873,20145
14873,20305
14873,20310
14873,20321
14873,20322
14873,20329
14873,20340
14873,20343
14873,20501
14873,20504
14873,20517
14873,20519
14873,20529
14873,20533
14873,20537
14873,20538
14873,20542
14873,20702
14873,20705
14873,20706
14873,20708
14873,20712
14873,20724
14873,20733
14873,20748
14873,20749
14873,20750
14873,20757
14873,20902
14873,20907
14873,20920
14873,20927
14873,20934
14873,20944
14873,20952
14873,20954
14873,20955
14873,20958
14873,21102
14873,21110
14873,21118
14873,21140
14873,21172
14873,21198
14873,21303
14873,21304
14873,21306
14873,21308
14873,21309
14873,21311
14873,21312
14873,21313
14873,21314
14873,21315
14873,21321
14873,21326
14873,21329
14873,21339
14873,21340
14873,21342
14873,21343
14873,21344
14873,21352
14873,21358
14873,21362
14873,21365
14873,21368
14873,21370
14873,21371
14873,21372
14873,21375
14873,21502
14873,21504
14873,21506
14873,21507
14873,21508
14873,21525
14873,21529
14873,21530
14873,21536
14873,21538
14873,21540
14873,21545
14873,21548
14873,21554
14873,21566
14873,21703
14873,21706
14873,21707
14873,21709
14873,21711
14873,21713
14873,21715
14873,21722
14873,21723
14873,21726
14873,21728
14873,21730
14873,21732
14873,21739
14873,21740
14873,21741
14873,21746
14873,21747
14873,21754
14873,21756
14873,21761
14873,21762
14873,21763
14873,21900
14873,21902
14873,21910
14873,21912
14873,21914
14873,21915
14873,21917
14873,21919
14873,21921
14873,21922
14873,21930
14873,21931
14873,21934
14873,21937
14873,21938
14873,21939
14873,21940
14873,21941
14873,21942
14873,21944
14873,21948
14873,21949
14873,21950
14873,21951
14873,21953
14873,21954
14873,21955
14873,21962
14873,21964
14873,21966
14873,21968
14873,21972
14873,21975
14873,21977
14873,21978
14873,21979
14873,21983
14873,22100
14873,22104
14873,22105
14873,22126
14873,22127
14873,22128
14873,22131
14873,22135
14873,22142
14873,22144
14873,22149
14873,22153
14873,22154
14873,22156
14873,29109
14873,29312
14873,29317
14873,29339
14873,29346
14873,29368
14873,29377
14873,29378
14873,29379
14873,29504
14873,29571
14873,29573
14873,29588
14873,29707
14873,29710
14873,29717
14873,29729
14873,29741
14873,29768
14873,29769
14873,29776
14873,29778
14873,29901
14873,29903
14873,29908
14873,29911
14873,31101
14873,31103
14873,39301
14873,39305
14873,39307
15019,15029
15019,15410
15019,15433
15019,15438
15019,15454
15019,15616
15019,20104
15019,20119
15019,20122
15019,20136
15019,20145
15019,20305
15019,20310
15019,20321
15019,20322
15019,20329
15019,20340
15019,20343
15019,20501
15019,20504
15019,20517
15019,20519
15019,20529
15019,20533
15019,20537
15019,20538
15019,20542
15019,20702
15019,20705
15019,20706
15019,20708
15019,20712
15019,20724
15019,20733
15019,20748
15019,20749
15019,20750
15019,20757
15019,20762
15019,20902
15019,20907
15019,20920
15019,20927
15019,20934
15019,20944
15019,20952
15019,20954
15019,20955
15019,20958
15019,21102
15019,21110
15019,21118
15019,21140
15019,21172
15019,21198
15019,21303
15019,21304
15019,21306
15019,21308
15019,21309
15019,21311
15019,21312
15019,21313
15019,21314
15019,21315
15019,21321
15019,21326
15019,21329
15019,21339
15019,21340
15019,21342
15019,21343
15019,21344
15019,21352
15019,21358
15019,21362
15019,21365
15019,21368
15019,21370
15019,21371
15019,21372
15019,21375
15019,21502
15019,21504
15019,21506
15019,21507
15019,21508
15019,21525
15019,21529
15019,21530
15019,21536
15019,21538
15019,21540
15019,21545
15019,21548
15019,21554
15019,21566
15019,21703
15019,21706
15019,21707
15019,21709
15019,21711
15019,21713
15019,21715
15019,21722
15019,21723
15019,21726
15019,21728
15019,21730
15019,21732
15019,21736
15019,21739
15019,21740
15019,21741
15019,21746
15019,21747
15019,21754
15019,21756
15019,21761
15019,21762
15019,21763
15019,21900
15019,21902
15019,21906
15019,21910
15019,21912
15019,21914
15019,21915
15019,21917
15019,21919
15019,21921
15019,21922
15019,21930
15019,21931
15019,21934
15019,21937
15019,21938
15019,21939
15019,21940
15019,21941
15019,21942
15019,21944
15019,21948
15019,21949
15019,21950
15019,21951
15019,21953
15019,21954
15019,21955
15019,21962
15019,21964
15019,21965
15019,21966
15019,21968
