NAME,PARTY,STATE_NAME,LonX,LatY,icpsr,district_code,state_abbrev,born,distance to center,betweenness,closeness
David E. Price,Democrat,North Carolina,-78.755,36.04,15438,4,NC,1940,477.7265199,1.045238095,0.605504587
Joe Wilson,Republican,South Carolina,-81.375,33.638,20138,2,SC,1947,123.5332785,0,0.725274725
Mike Rogers,Republican,Alabama,-85.707,33.156,20301,3,AL,1958,360.1133015,7.283333333,0.75
Mario Diaz-Balart,Republican,Florida,-81.157,26.226,20316,25,FL,1961,714.5290483,205.897619,0.942857143
David Scott,Democrat,Georgia,-84.564,33.626,20321,13,GA,1945,271.8773334,4.507101086,0.622641509
G. K. Butterfield,Democrat,North Carolina,-77.491,36.009,20340,1,NC,1947,553.3383212,3.295739348,0.61682243
Debbie Wasserman Schultz,Democrat,Florida,-80.289,26.064,20504,23,FL,1966,745.4582001,4.507101086,0.622641509
Virginia Foxx,Republican,North Carolina,-81.441,35.906,20521,5,NC,1943,367.9591341,0,0.725274725
Patrick T. McHenry,Republican,North Carolina,-80.586,36.095,20522,10,NC,1975,404.9794962,0,0.725274725
Kathy Castor,Democrat,Florida,-82.478,28.041,20708,14,FL,1966,512.024617,4.507101086,0.622641509
Vern Buchanan,Republican,Florida,-82.301,27.527,20709,16,FL,1951,567.4933911,0,0.725274725
Henry C. â€œHankâ€ Johnson Jr.,Democrat,Georgia,-84.05,33.697,20712,4,GA,1954,233.0024721,4.507101086,0.622641509
Gus M. Bilirakis,Republican,Florida,-82.431,28.281,20758,12,FL,1963,485.0040935,0,0.725274725
Bill Posey,Republican,Florida,-80.743,28.129,20909,8,FL,1947,511.5145226,0,0.725274725
,Vacant,Florida,-80.166,26.277,20959,22,FL,1966,724.9497567,0,0.445945946
Terri A. Sewell,Democrat,Alabama,-87.625,32.444,21102,7,AL,1965,536.6670667,4.507101086,0.622641509
Daniel Webster,Republican,Florida,-82.167,28.791,21116,11,FL,1949,426.3984561,0,0.725274725
Frederica S. Wilson,Democrat,Florida,-80.216,25.911,21118,24,FL,1942,763.6068725,4.507101086,0.622641509
Austin Scott,Republican,Georgia,-83.453,31.78,21123,8,GA,1969,173.0868312,0,0.725274725
Jeff Duncan,Republican,South Carolina,-82.339,34.356,21174,3,SC,1966,197.3221797,0,0.725274725
Mo Brooks,Republican,Alabama,-86.712,34.754,21193,5,AL,1954,504.1883971,0,0.725274725
Lois Frankel,Democrat,Florida,-80.167,26.546,21321,21,FL,1948,695.8138125,4.507101086,0.622641509
Richard Hudson,Republican,North Carolina,-79.54,35.293,21346,8,NC,1971,368.6544074,0,0.725274725
Tom Rice,Republican,South Carolina,-79.535,34.127,21359,7,SC,1957,276.5529176,0,0.725274725
Gary J. Palmer,Republican,Alabama,-86.713,33.263,21500,6,AL,1954,454.4470868,0,0.725274725
