NAME,PARTY,STATE_NAME,LonX,LatY,icpsr,district_code,state_abbrev,born
Marry Sattler Peltola,Democrat,Alaska,-152.56,64.23,22168,1,AK,1973
Jerry Carl,Republican,Alabama,-87.765,31.097,22108,1,AL,1958
Barry Moore,Republican,Alabama,-86.071,31.708,22140,2,AL,1966
Mike Rogers,Republican,Alabama,-85.707,33.156,20301,3,AL,1958
Robert B. Aderholt,Republican,Alabama,-87.2,34.12,29701,4,AL,1965
Mo Brooks,Republican,Alabama,-86.712,34.754,21193,5,AL,1954
Gary J. Palmer,Republican,Alabama,-86.713,33.263,21500,6,AL,1954
Terri A. Sewell,Democrat,Alabama,-87.625,32.444,21102,7,AL,1965
Eric A. “Rick” Crawford,Republican,Arkansas,-91.246,35.302,21106,1,AR,1966
J. French Hill,Republican,Arkansas,-92.391,35.091,21503,2,AR,1956
Steve Womack,Republican,Arkansas,-93.599,36.006,21108,3,AR,1957
Bruce Westerman,Republican,Arkansas,-93.213,34.226,21563,4,AR,1967
Tom O'Halleran,Democrat,Arizona,-110.735,34.985,21739,1,AZ,1946
Ann Kirkpatrick,Democrat,Arizona,-109.957,31.927,20902,2,AZ,1950
Raúl M. Grijalva,Democrat,Arizona,-112.444,32.366,20305,3,AZ,1948
Paul A. Gosar,Republican,Arizona,-113.222,34.609,21103,4,AZ,1958
Andy Biggs,Republican,Arizona,-111.715,33.338,21705,5,AZ,1958
David Schweikert,Republican,Arizona,-111.89,33.667,21105,6,AZ,1962
Ruben Gallego,Democrat,Arizona,-112.119,33.429,21502,7,AZ,1979
Debbie Lesko,Republican,Arizona,-112.3,33.693,21757,8,AZ,1958
Greg Stanton,Democrat,Arizona,-111.949,33.406,21968,9,AZ,1970
Doug LaMalfa,Republican,California,-121.509,40.747,21302,1,CA,1960
Jared Huffman,Democrat,California,-123.434,40.144,21303,2,CA,1964
John Garamendi,Democrat,California,-122.095,39.037,20958,3,CA,1945
Tom McClintock,Republican,California,-119.937,37.988,20903,4,CA,1956
Mike Thompson,Democrat,California,-122.468,38.535,29901,5,CA,1951
Doris O. Matsui,Democrat,California,-121.479,38.595,20538,6,CA,1944
Ami Bera,Democrat,California,-121.219,38.482,21304,7,CA,1965
Jay Obernolte,Republican,California,-116.812,35.675,22145,8,CA,1970
Jerry McNerney,Democrat,California,-121.303,38.01,20702,9,CA,1951
Josh Harder,Democrat,California,-121.061,37.581,21930,10,CA,1986
Mark DeSaulnier,Democrat,California,-121.985,37.899,21504,11,CA,1952
Nancy Pelosi,Democrat,California,-122.435,37.763,15448,12,CA,1940
Barbara Lee,Democrat,California,-122.221,37.788,29778,13,CA,1946
Jackie Speier,Democrat,California,-122.376,37.524,20762,14,CA,1950
Eric Swalwell,Democrat,California,-121.824,37.644,21306,15,CA,1980
Jim Costa,Democrat,California,-120.531,37.112,20501,16,CA,1952
Ro Khanna,Democrat,California,-121.961,37.438,21728,17,CA,1976
Anna G. Eshoo,Democrat,California,-122.123,37.217,29312,18,CA,1942
Zoe Lofgren,Democrat,California,-121.586,37.207,29504,19,CA,1947
Jimmy Panetta,Democrat,California,-121.216,36.36,21740,20,CA,1969
David Valadao,Republican,California,-119.851,36.082,21307,21,CA,1977
Connie Conway,Republican,California,-119.389,36.487,22164,22,CA,1950
Kevin McCarthy,Republican,California,-118.537,35.615,20703,23,CA,1965
Salud O. Carbajal,Democrat,California,-120.095,35.013,21709,24,CA,1964
Mike Garcia,Republican,California,-118.284,34.587,21988,25,CA,1976
Julia Brownley,Democrat,California,-119.059,34.301,21308,26,CA,1952
Judy Chu,Democrat,California,-117.94,34.279,20955,27,CA,1953
Adam B. Schiff,Democrat,California,-118.291,34.25,20104,28,CA,1960
Tony Cárdenas,Democrat,California,-118.431,34.266,21309,29,CA,1963
Brad Sherman,Democrat,California,-118.545,34.203,29707,30,CA,1954
Pete Aguilar,Democrat,California,-117.354,34.11,21506,31,CA,1979
Grace F. Napolitano,Democrat,California,-117.915,34.09,29903,32,CA,1936
Ted Lieu,Democrat,California,-118.597,34.031,21507,33,CA,1969
Jimmy Gomez,Democrat,California,-118.228,34.075,21754,34,CA,1974
Norma J. Torres,Democrat,California,-117.588,34.047,21508,35,CA,1965
Raul Ruiz,Democrat,California,-115.72,33.747,21311,36,CA,1972
Karen Bass,Democrat,California,-118.364,34.017,21110,37,CA,1953
Linda T. Sánchez,Democrat,California,-118.062,33.941,20310,38,CA,1969
Young Kim,Republican,California,-117.84,33.938,22129,39,CA,1962
Lucille Roybal-Allard,Democrat,California,-118.178,33.969,29317,40,CA,1941
Mark Takano,Democrat,California,-117.308,33.917,21312,41,CA,1960
Ken Calvert,Republican,California,-117.226,33.679,29323,42,CA,1953
Maxine Waters,Democrat,California,-118.335,33.904,29106,43,CA,1938
Nanette Diaz Barragan,Democrat,California,-118.238,33.856,21703,44,CA,1976
Katie Porter,Democrat,California,-117.671,33.706,21954,45,CA,1974
J. Luis Correa,Democrat,California,-117.896,33.791,21711,46,CA,1958
Alan S. Lowenthal,Democrat,California,-118.313,33.421,21313,47,CA,1941
Michelle Steel,Republican,California,-117.887,33.643,22152,48,CA,1955
Mike Levin,Democrat,California,-117.389,33.317,21939,49,CA,1978
Darrell Issa,Republican,California,-116.618,33.115,20107,50,CA,1953
Juan Vargas,Democrat,California,-115.516,32.995,21314,51,CA,1961
Scott H. Peters,Democrat,California,-117.117,32.903,21315,52,CA,1958
Sara Jacobs,Democrat,California,-117.032,32.719,22126,53,CA,1989
Diana DeGette,Democrat,Colorado,-104.908,39.732,29710,1,CO,1957
Joe Neguse,Democrat,Colorado,-105.73,40.145,21948,2,CO,1984
Lauren Boebert,Republican,Colorado,-107.238,38.78,22103,3,CO,1986
Ken Buck,Republican,Colorado,-103.375,39.062,21510,4,CO,1959
Doug Lamborn,Republican,Colorado,-105.338,38.822,20704,5,CO,1954
Jason A. Crow,Democrat,Colorado,-104.74,39.775,21912,6,CO,1979
Ed Perlmutter,Democrat,Colorado,-105.041,39.827,20705,7,CO,1953
John B. Larson,Democrat,Connecticut,-72.801,41.811,29908,1,CT,1948
Joe Courtney,Democrat,Connecticut,-72.205,41.664,20706,2,CT,1953
