NAME,PARTY,STATE_NAME,LonX,LatY,icpsr
Marry Sattler Peltola,Democrat,Alaska,-152.56,64.23,22168
Jerry Carl,Republican,Alabama,-87.765,31.097,22108
Barry Moore,Republican,Alabama,-86.071,31.708,22140
Mike Rogers,Republican,Alabama,-85.707,33.156,20301
Robert B. Aderholt,Republican,Alabama,-87.2,34.12,29701
Mo Brooks,Republican,Alabama,-86.712,34.754,21193
Gary J. Palmer,Republican,Alabama,-86.713,33.263,21500
Terri A. Sewell,Democrat,Alabama,-87.625,32.444,21102
Eric A. “Rick” Crawford,Republican,Arkansas,-91.246,35.302,21106
J. French Hill,Republican,Arkansas,-92.391,35.091,21503
Steve Womack,Republican,Arkansas,-93.599,36.006,21108
Bruce Westerman,Republican,Arkansas,-93.213,34.226,21563
Tom O'Halleran,Democrat,Arizona,-110.735,34.985,21739
Ann Kirkpatrick,Democrat,Arizona,-109.957,31.927,20902
Raúl M. Grijalva,Democrat,Arizona,-112.444,32.366,20305
Paul A. Gosar,Republican,Arizona,-113.222,34.609,21103
Andy Biggs,Republican,Arizona,-111.715,33.338,21705
David Schweikert,Republican,Arizona,-111.89,33.667,21105
Ruben Gallego,Democrat,Arizona,-112.119,33.429,21502
Debbie Lesko,Republican,Arizona,-112.3,33.693,21757
Greg Stanton,Democrat,Arizona,-111.949,33.406,21968
Doug LaMalfa,Republican,California,-121.509,40.747,21302
Jared Huffman,Democrat,California,-123.434,40.144,21303
John Garamendi,Democrat,California,-122.095,39.037,20958
Tom McClintock,Republican,California,-119.937,37.988,20903
Mike Thompson,Democrat,California,-122.468,38.535,29901
Doris O. Matsui,Democrat,California,-121.479,38.595,20538
Ami Bera,Democrat,California,-121.219,38.482,21304
Jay Obernolte,Republican,California,-116.812,35.675,22145
Jerry McNerney,Democrat,California,-121.303,38.01,20702
Josh Harder,Democrat,California,-121.061,37.581,21930
Mark DeSaulnier,Democrat,California,-121.985,37.899,21504
Nancy Pelosi,Democrat,California,-122.435,37.763,15448
Barbara Lee,Democrat,California,-122.221,37.788,29778
Jackie Speier,Democrat,California,-122.376,37.524,20762
Eric Swalwell,Democrat,California,-121.824,37.644,21306
Jim Costa,Democrat,California,-120.531,37.112,20501
Ro Khanna,Democrat,California,-121.961,37.438,21728
Anna G. Eshoo,Democrat,California,-122.123,37.217,29312
Zoe Lofgren,Democrat,California,-121.586,37.207,29504
Jimmy Panetta,Democrat,California,-121.216,36.36,21740
David Valadao,Republican,California,-119.851,36.082,21307
Connie Conway,Republican,California,-119.389,36.487,22164
Kevin McCarthy,Republican,California,-118.537,35.615,20703
Salud O. Carbajal,Democrat,California,-120.095,35.013,21709
Mike Garcia,Republican,California,-118.284,34.587,21988
Julia Brownley,Democrat,California,-119.059,34.301,21308
Judy Chu,Democrat,California,-117.94,34.279,20955
Adam B. Schiff,Democrat,California,-118.291,34.25,20104
Tony Cárdenas,Democrat,California,-118.431,34.266,21309
Brad Sherman,Democrat,California,-118.545,34.203,29707
Pete Aguilar,Democrat,California,-117.354,34.11,21506
Grace F. Napolitano,Democrat,California,-117.915,34.09,29903
Ted Lieu,Democrat,California,-118.597,34.031,21507
Jimmy Gomez,Democrat,California,-118.228,34.075,21754
Norma J. Torres,Democrat,California,-117.588,34.047,21508
Raul Ruiz,Democrat,California,-115.72,33.747,21311
Karen Bass,Democrat,California,-118.364,34.017,21110
Linda T. Sánchez,Democrat,California,-118.062,33.941,20310
Young Kim,Republican,California,-117.84,33.938,22129
Lucille Roybal-Allard,Democrat,California,-118.178,33.969,29317
Mark Takano,Democrat,California,-117.308,33.917,21312
Ken Calvert,Republican,California,-117.226,33.679,29323
Maxine Waters,Democrat,California,-118.335,33.904,29106
Nanette Diaz Barragan,Democrat,California,-118.238,33.856,21703
Katie Porter,Democrat,California,-117.671,33.706,21954
J. Luis Correa,Democrat,California,-117.896,33.791,21711
Alan S. Lowenthal,Democrat,California,-118.313,33.421,21313
Michelle Steel,Republican,California,-117.887,33.643,22152
Mike Levin,Democrat,California,-117.389,33.317,21939
Darrell Issa,Republican,California,-116.618,33.115,20107
Juan Vargas,Democrat,California,-115.516,32.995,21314
Scott H. Peters,Democrat,California,-117.117,32.903,21315
Sara Jacobs,Democrat,California,-117.032,32.719,22126
Diana DeGette,Democrat,Colorado,-104.908,39.732,29710
Joe Neguse,Democrat,Colorado,-105.73,40.145,21948
Lauren Boebert,Republican,Colorado,-107.238,38.78,22103
Ken Buck,Republican,Colorado,-103.375,39.062,21510
Doug Lamborn,Republican,Colorado,-105.338,38.822,20704
Jason A. Crow,Democrat,Colorado,-104.74,39.775,21912
Ed Perlmutter,Democrat,Colorado,-105.041,39.827,20705
John B. Larson,Democrat,Connecticut,-72.801,41.811,29908
Joe Courtney,Democrat,Connecticut,-72.205,41.664,20706
Rosa L. DeLauro,Democrat,Connecticut,-72.878,41.385,29109
James A. Himes,Democrat,Connecticut,-73.375,41.22,20907
Jahana Hayes,Democrat,Connecticut,-73.219,41.691,21931
Eleanor Holmes Norton,Democrat,District of Columbia,-77.015,38.91,21993
Lisa Blunt Rochester,Democrat,Delaware,-75.507,38.992,21706
Matt Gaetz,Republican,Florida,-86.645,30.716,21719
Neil P. Dunn,Republican,Florida,-84.13,30.078,21714
Kat Cammack,Republican,Florida,-82.059,29.678,22107
John H. Rutherford,Republican,Florida,-81.655,30.357,21744
"Al Lawson, Jr.",Democrat,Florida,-83.327,30.449,21732
Mike Waltz,Republican,Florida,-81.301,29.179,21981
Stephanie N. Murphy,Democrat,Florida,-81.245,28.688,21738
Bill Posey,Republican,Florida,-80.743,28.129,20909
Darren Soto,Democrat,Florida,-81.285,28.035,21746
Val Butler Demings,Democrat,Florida,-81.511,28.544,21713
Daniel Webster,Republican,Florida,-82.167,28.791,21116
Gus M. Bilirakis,Republican,Florida,-82.431,28.281,20758
,Vacant,Florida,-82.722,27.85,21712
Kathy Castor,Democrat,Florida,-82.478,28.041,20708
Scott Franklin,Republican,Florida,-81.977,28.199,22116
Vern Buchanan,Republican,Florida,-82.301,27.527,20709
W. Gregory Steube,Republican,Florida,-81.528,27.244,21971
Brian J. Mast,Republican,Florida,-80.415,27.127,21735
Byron Donalds,Republican,Florida,-81.83,26.464,22111
Sheila Cherfilus-McCormick,Democrat,Florida,-80.58,26.448,29337
