Source,Target
15438,20321
15438,20340
15438,20504
15438,20708
15438,20712
15438,21102
15438,21118
15438,21321
15438,21545
15438,21713
15438,21732
15438,21746
15438,21944
15438,22104
15438,22135
15438,22149
15438,22156
15438,29339
15438,39301
20138,20709
20138,20758
20138,21346
20138,21544
20138,21714
20138,21935
20138,21974
20138,21981
20138,22108
20301,20709
20301,21714
20301,21935
20301,22108
20316,20709
20316,20758
20316,21346
20316,21714
20316,21935
20316,21981
20316,22108
20316,22118
20321,20340
20321,20504
20321,20708
20321,20712
20321,21102
20321,21118
20321,21321
20321,21545
20321,21713
20321,21732
20321,21746
20321,21944
20321,22104
20321,22135
20321,22149
20321,22156
20321,29339
20321,39301
20340,20504
20340,20708
20340,20712
20340,21102
20340,21118
20340,21321
20340,21545
20340,21713
20340,21732
20340,21746
20340,21944
20340,22104
20340,22135
20340,22149
20340,22156
20340,29339
20340,39301
20504,20708
20504,20712
20504,21102
20504,21118
20504,21321
20504,21545
20504,21713
20504,21732
20504,21746
20504,21944
20504,22104
20504,22135
20504,22149
20504,22156
20504,29339
20504,39301
20708,20712
20708,21102
20708,21118
20708,21321
20708,21545
20708,21713
20708,21732
20708,21746
20708,21944
20708,22104
20708,22135
20708,22149
20708,22156
20708,29339
20708,39301
20709,20758
20709,21123
20709,21346
20709,21544
20709,21714
20709,21935
20709,21974
20709,21981
20709,22108
20709,22118
20709,29701
20712,21102
20712,21118
20712,21321
20712,21545
20712,21713
20712,21732
20712,21746
20712,21944
20712,22104
20712,22135
20712,22149
20712,22156
20712,29339
20712,39301
20758,21123
20758,21346
20758,21544
20758,21714
20758,21935
20758,21974
20758,21981
20758,22108
20758,22118
20758,29701
21102,21118
21102,21321
21102,21545
21102,21713
21102,21732
21102,21746
21102,21944
21102,22104
21102,22135
21102,22149
21102,22156
21102,29339
21102,39301
21118,21321
21118,21545
21118,21713
21118,21732
21118,21746
21118,21944
21118,22104
21118,22135
21118,22149
21118,22156
21118,29339
21118,39301
21123,21714
21123,21935
21123,21974
21123,21981
21123,22108
21123,29701
21321,21545
21321,21713
21321,21732
21321,21746
21321,21944
21321,22104
21321,22135
21321,22149
21321,22156
21321,29339
21321,39301
21346,21544
21346,21714
21346,21935
21346,21974
21346,21981
21346,22108
21346,22118
21346,29701
21500,21544
21500,21974
21500,22108
21500,22116
21500,29701
21513,22108
21544,21714
21544,21935
21544,21974
21544,21981
21544,22108
21544,22116
21544,29701
21545,21713
21545,21732
21545,21746
21545,21944
21545,22104
21545,22135
21545,22149
21545,22156
21545,29339
21545,39301
21713,21732
21713,21746
21713,21944
21713,22104
21713,22135
21713,22149
21713,22156
21713,29339
21713,39301
21714,21935
21714,21974
21714,21981
21714,22108
21714,22118
21714,29701
21717,21974
21732,21746
21732,21944
21732,22104
21732,22135
21732,22149
21732,22156
21732,29339
21732,39301
21746,21944
21746,22104
21746,22135
21746,22149
21746,22156
21746,29339
21746,39301
21935,21974
21935,21981
21935,22108
21935,22118
21935,29701
21944,22104
21944,22135
21944,22149
21944,22156
21944,29339
21944,39301
21974,21981
21974,22108
21974,22116
21974,29701
21981,22108
21981,22118
21981,29701
22104,22135
22104,22149
22104,22156
22104,29339
22104,39301
22108,22116
22108,22118
22108,29701
22118,22150
22135,22149
22135,22156
22135,29339
22135,39301
22149,22156
22149,29339
22149,39301
22156,29339
22156,39301
29339,39301
