Source,Target,weight
BRR,CFNRV,1
BRR,FASWV,1
BRR,PG,1
BRR,CFNRV,1
BRR,FASWV,1
BRR,PG,1
BL,BL,1
BFM,CFM,1
BFM,PFI,1
BFM,VCE,1
BFM,VTFNP,1
BIFP,CFNRV,1
BIFP,FASWV,1
BIFP,MCCS,1
BIFP,NRCAM,1
BIFP,NRCAP,1
BIFP,GT,1
BIFP,MBP,1
BIFP,VCE,1
BBRP,CFNRV,1
BBRP,MBP,1
BBP,FASWV,1
CC,GYAP,1
CC,NRCAHS,1
CC,PFM,1
CL,CL,1
CFM,FARM,1
CFM,VCE,1
CFM,VTFNP,1
CFNRV,GG,1
CFNRV,GCM,1
CFNRV,IAJ,1
CFNRV,MCCS,1
CFNRV,NRCAG,1
CFNRV,NRCAHS,1
CFNRV,NRCAM,1
CFNRV,NRCC,1
CFNRV,NRFS,1
CFNRV,FARM,1
CFNRV,NRVCSF,1
CFNRV,NRVCSG,1
CFNRV,NRVCSM,1
CFNRV,NRVCSP,1
CFNRV,NRVCSR,1
CFNRV,NRVS,1
CFNRV,MBP,1
CFNRV,PLE,1
CFNRV,PFI,1
CFNRV,PG,1
CFNRV,RFDB,1
CFNRV,MBP,1
CFNRV,VICCC,1
CFNRV,VCE,1
CFNRV,VTK,1
CFNRV,WH,1
CFNRV,YMCA,1
DUMC,DUMC,1
EN,EN,1
EN,FASWV,1
EEBP,EEBP,1
ENTF,NRCAM,1
ENTF,NRCAP,1
FP,FP,1
FASWV,FASWV,1
FASWV,GB,1
FASWV,JC,1
FASWV,MCCS,1
FASWV,PLE,1
FASWV,PCOG,1
FASWV,RFDB,1
FASWV,SFP,1
FASWV,SR,1
FASWV,MBP,1
GG,GG,1
GG,GHF,1
GG,NRCAHS,1
GG,FARM,1
GG,PG,1
GG,VCE,1
GG,VTFNP,1
GG,YMCACG,1
GCM,HFC,1
GCM,NRCAG,1
GCM,NRCAM,1
GCM,NRCAP,1
GCM,MBP,1
GCM,UMCP,1
GYAP,NRVCSF,1
GYAP,NRVCSG,1
GYAP,NRVCSM,1
GYAP,NRVCSP,1
GYAP,NRVCSR,1
JC,NRCAHS,1
MCCS,NRCAHS,1
MCCS,NRCAM,1
MCCS,NRCAP,1
MCCS,NRFS,1
MCCS,NRVCSF,1
MCCS,NRVCSG,1
MCCS,NRVCSM,1
MCCS,NRVCSP,1
MCCS,NRVCSR,1
MCCS,SFP,1
MCCS,UW,1
MCCS,VCE,1
MCCS,WH,1
NRCAF,NRCAF,1
NRCAF,NRCAHS,1
NRCAF,UW,1
NRCAG,NRCAG,1
NRCAG,NRCAM,1
NRCAG,NRCAP,1
NRCAG,NRVCSF,1
NRCAG,NRVCSG,1
NRCAG,NRVCSM,1
NRCAG,NRVCSP,1
NRCAG,NRVCSR,1
NRCAG,UW,1
NRCAHS,NRCAM,1
NRCAHS,NRCAP,1
NRCAHS,MBP,1
NRCAHS,WH,1
NRCAM,NRCAM,1
NRCAM,NRCAP,1
NRCAP,UW,1
NRFS,UW,1
FARM,PFI,1
FARM,PG,1
FARM,MBP,1
FARM,VCE,1
FARM,YMCACG,1
NRVA,PLE,1
NRVA,VTK,1
PFM,PFM,1
PFM,VCE,1
PLE,GT,1
PLE,VCE,1
PFI,VCE,1
PG,VCE,1
RFDB,UW,1
RFDB,VTK,1
SFP,SFP,1
GT,GT,1
GT,WH,1
MBP,MBP,1
MBP,VICCC,1
MBP,VCE,1
MBP,VTK,1
MBP,WH,1
UW,UW,1
UW,WH,1
VCE,VCE,1
VCE,VTK,1
VCE,YMCACG,1
VTFNP,YMCACG,1
VTK,VTK,1
YMCA,YMCACG,1
