ID,ORGANIZATION,SHORT,LonX,LatY
AUMC,Auburn United Methodist Church,Auburn UMC,-80.43937055,37.06509281
BRR,"Beans and Rice, Radford",Beans and Rice,-80.58952135,37.12018291
BRP,"Beans and Rice, Pulaski",Beans and Rice,-80.77926708,37.0487835
BUMC,Belview UMC Backpack Program,Belview UMC,-80.50819271,37.17001371
BBBC,Big Brother Big Sister,BBBS,-79.94343682,37.27566081
BL,Blacksburg Breakfast Lions Club,Lions,-80.40171127,37.19585675
BFM,Blacksburg Farmers Market,Bburg FM,-80.41442147,37.22944669
BIFP,Blacksburg Interfaith Food Pantry,BIFP,-80.40631337,37.23680011
BBRP,Blacksburg Refugee Partnership,BRP,-80.41425702,37.23024081
BBP,"Bobcat Backpacks Program, Radford Public Schools",Bobcat BP,-80.57139133,37.13246013
CB,Calvary Baptist Church,Cavalry Bap,-80.27236679,36.93820809
CC,Carilion Clinic,Carilion,-80.50562529,37.08940601
CL,Christ Lutheran Church,Christ Luth,-80.57382183,37.13340559
CFM,Christiansburg Farmers Market,Cburg FM,-80.41032146,37.12919672
CFNRV,Community Foundation of the New River Valley,CFNRV,-80.40526282,37.14287995
CHCM,"Community Health Center of the New River Valley, Montgomery",CHCM,-80.40170633,37.13006054
CHCG,"Community Health Center of the New River Valley, Giles",CHCG,-80.7225259,37.32341456
CHCRP,"Community Health Center of the New River Valley, Radford/Pulaski",CHCRP,-80.66937451,37.11584483
CHP,Community Housing Partners,CHP,-80.41046504,37.13937452
CH,Copper Hill Church of the Bretheren,Copper Hill,-80.12841649,37.08366378
CCS,Council of Community Services,CCS,-79.949939,37.27129754
MDSS,Department of Social Services Montgomery,MDSS,-80.41101362,37.13209064
RDSS,Department of Social Services Radford,RDSS,-80.58396308,37.12774293
PDSS,Department of Social Services Pulaski,PDSS,-80.78085454,37.04534507
GDSS,Department of Social Services Giles,GDSS,-80.62925905,37.32034316
FDSS,Department of Social Services Floyd,FDSS,-80.32168084,36.91263973
DUMC,Dublin United Methodist Church,Dublin UMC,-80.68276118,37.10596942
EN,Eagle’s Nest,Eagle's Nest,-80.33919094,37.01768718
EEBP,"Eastern Elementary Backpack Program, Christiansburg Rotary",Eastern Elem BP,-80.35832262,37.21503776
ENTF,Emergency Needs Task Force of Pulaski County,ENTF,-80.78163634,37.05060252
FP,Fairlawn Presbyterian Church,Fairlawn Pres,-80.57991814,37.15111541
FASWV,Feeding America Southwest Virginia,FASWV,-80.03651902,37.27905515
FIE,"Fieldstone Church, (The Giving Tree Food Pantry)",Fieldstone,-80.41763641,37.17613715
GB,Gethsemane Baptist Church,Gethsemane Bap,-80.41697482,37.17603415
GG,Giles Community Garden,Giles Garden,-80.7338711,37.32708718
GCM,Giles County Christian Service Mission,Giles Mission,-80.7343242,37.32663181
GCF,Giles County FOCUS,FOCUS,-80.81105573,37.33151797
GS,Giles Shelter,Giles Shelter,-80.80806116,37.33731691
GCS,Giles County Summer Lunch Program,Giles Summer,-80.74392793,37.33138097
GHF,Giles Health and Family Center,Giles Health/Family,-80.73229414,37.32786941
GYAP,Giles Youth Adult Partnership (GYAP),GYAP,-80.7293378,37.31819874
GLA,Glade Church,Glade,-80.4499054,37.23622578
HF,Healthy Floyd,Healthy Floyd,-80.30965756,36.91636424
HH,Helping Hands,Helping Hands,-80.52155033,37.16109638
HC,Heritage Cares,Heritage Cares,-80.69060354,37.14893728
HFC,"Holy Family Catholic Church, Justice and Peace Committee",Holy Family Cath,-80.71567037,37.33287664
IAJ,It's All About Jesus Ministries,All About Jesus,-80.58855157,37.12479008
JC,"Jordan's Chapel Feed My Lambs, Backpack & Food Pantry",Jordan's,-80.77304863,37.08422042
MBL,Meadowbrook Public Library Backpack Program,MB Lib,-80.25589444,37.16708883
MCCS,Montgomery County Christmas Store,MCCS,-80.40938223,37.12894099
MCEAP,Montgomery County Emergency Assistance Program (MCEAP),MCEAP,-80.40429363,37.13058038
NE,Narrows Elem,NE,-80.8130791,37.32682068
NH,New Harvest,New Harvest,-80.503012,36.85345246
NL,New Life Church of the Nazarene,New Life,-80.78200097,37.0445225
NRCAF,"New River Community Action, Floyd",NRCAF,-80.33266837,36.90856234
NRCAG,"New River Community Action, Giles",NRCAG,-80.73430274,37.32662327
NRCAHS,"New River Community Action, Head Start","NRCA, HS",-80.40732967,37.22539007
NRCAM,"New River Community Action, Montgomery",NRCAM,-80.40427217,37.13059749
NRCAP,"New River Community Action, Pulaski",NRCAP,-80.78201184,37.05041414
NRCAR,"New River Community Action, Radford",NRCAR,-80.55665943,37.14083198
NRCC,New River Community College,NRCC,-80.69586293,37.10405559
NRFS,New River Family Shelter,NR Fam Shelter,-80.40427217,37.13058893
FARM,"New River Health District, Farmacy Garden",Farmacy,-80.40402654,37.12947049
NRVA,New River Valley Agency on Aging,NRV Aging,-80.7762553,37.04816331
NRVCSF,"New River Valley Community Services, Floyd",NRVCSF,-80.3251187,36.91909506
NRVCSG,"New River Valley Community Services, Giles",NRVCSG,-80.7318141,37.32746004
NRVCSM,"New River Valley Community Services, Montgomery",NRVCSM,-80.43116357,37.23303271
NRVCSP,"New River Valley Community Services, Pulaski",NRVCSP,-80.78030763,37.04950507
NRVCSR,"New River Valley Community Services, Radford",NRVCSR,-80.577643,37.13385254
NRVS,New River Valley Senior Services,NRV Senior,-80.77624457,37.04816331
NUMC,Newport United Methodist Church,Newport UMC,-80.49466263,37.29553585
PCOG,Pearisburg Church of God,Pburg COG,-80.75833083,37.32912197
PFM,Pearisburg Community Market (Farmer’s Market),Pburg FM,-80.7195086,37.32638618
MABP,"Pearisburg First United Methodist Church, (Macy's Backpack Ministries)",Macy's BP,-80.72693137,37.3311309
PW,Pearisburg Junior Women's Club Backpack Program,Pburg Women's,-80.73566077,37.32810958
PLE,Plenty!,Plenty!,-80.35035943,36.93983356
PFI,Prices Fork Incubator Kitchen,PF Incubator,-80.49099736,37.20781206
PLCOG,Pulaski Church of God,Pulaski POG,-80.77754643,37.04562557
PCCS,Pulaski County Christmas Store,PC Christmas,-80.7834831,37.04834474
PCS,Pulaski County Public Schools,PC School,-80.77966387,37.04798147
PDB,Pulaski Daily Bread Inc.,Pulaski DB,-80.7819251,37.05015267
PG,Pulaski Grow,Pulaski Grow,-80.74725134,37.00456638
RU,Radford University (Highlander Helpers Backpack Club),RU,-80.55107423,37.13990224
RW,Radford Worship Center,Radford Worship,-80.58843196,37.11720128
RFDB,Radford-Fairlawn Daily Bread,RF Daily Bread,-80.54285743,37.13573343
RCOG,Riverview Church of God,Riverview CoG,-80.79808957,36.92406236
SFP,Shawsville Lay Ministerial Association Food Pantry,Shawsville FP,-80.22883746,37.22041007
SOF,SO Fresh (Southwest Virginia Fresh),SO Fresh,-80.7796746,37.04796434
SR,Spiritual Roots Community Food Bank,Spiritual Roots,-80.41831827,37.17471653
GT,St Mary's Catholic Justice & Peace (The Glean Team),Glean Team,-80.46679697,37.21999747
SJ,St. Jude Church,St. Jude,-80.52359027,37.11361599
MBP,"St. Michael's Lutheran Church, (Micah's)",Micah's,-80.46658944,37.21103277
SA,Salvation Army,Sal Army,-80.38720927,37.13377633
UMCP,United Methodist Women of Pembroke,UMC Pembroke,-80.63575927,37.32033091
UW,United Way of the New River Valley,United Way,-80.41082427,37.12836983
UC,Unity Christian Church,Unity Christian,-80.5535014,37.13755709
VICCC,Valley Interfaith Child Care Center,VICCC,-80.4495162,37.22268194
VCE,Virginia Cooperative Extension,VCE,-80.39292313,37.13106093
VTFNP,Virginia Tech Family Nutrition Program,VTFNP,-80.424202,37.22293598
VTK,VT Campus Kitchen/ VT Engage,VT Kitchen,-80.4341316,37.23086016
WH,Warm Hearth Foundation,Warm Hearth,-80.41947077,37.19728943
WUMC,White Memorial United Methodist Church,White UMC,-80.25052587,37.17024753
WRC,Women's Resource Center of the New River Valley,WRCNRV,-80.55759713,37.13948268
YMCA,YMCA at Virginia Tech,YMCA VT,-80.41949553,37.23887516
YMCACG,YMCA Community Garden,YMCA CG,-80.4128085,37.26766922
