Source,Target,Weight
BET,MLL,1
BET,NME,1
KUK,NUP,1
NME,OOK,1
NUP,BET,1
OOK,TNK,1
ABL,SHG,1
BET,KUK,1
BET,OOK,1
CKD,SLQ,1
HSL,KYU,1
KKA,UNK,1
KWK,BET,1
KYU,GAL,1
MLL,RSH,1
NME,TNK,1
OBU,ABL,1
OBU,OTZ,1
OTZ,SHG,1
RSH,BET,1
SCM,BET,1
SHG,OBU,1
SLQ,ANI,1
WBB,UNK,1
RSH,ANI,1
ABL,OTZ,1
KKA,SKK,1
KVL,OTZ,1
KVL,PHO,1
OME,UNK,1
OME,WBB,1
OTZ,PHO,1
SKK,OME,1
SKK,UNK,1
WAA,OME,1
AKP,FAI,1
BTT,AKP,1
FAI,BTT,1
FAI,GAL,1
HSL,HUS,1
HUS,FAI,1
KYU,FAI,1
CLT,CRW,1
CLT,PWM,1
DCA,CRW,1
DCA,PWM,1
DFW,CRW,1
DFW,SPI,1
LAS,LAX,1
PHL,PWM,1
MSY,ORD,1
ATL,CHA,1
ATL,CID,1
ATL,CLT,1
ATL,CRW,1
ATL,CVG,1
ATL,DEN,1
ATL,DFW,1
ATL,EVV,1
ATL,FWA,1
ATL,GSO,1
ATL,GSP,1
ATL,LEX,1
ATL,MIA,1
ATL,MSP,1
ATL,ORD,1
ATL,PHL,1
ATL,PHX,1
ATL,PWM,1
ATL,ROA,1
ATL,SYR,1
ATL,TYS,1
ATL,XNA,1
DTW,MSY,1
HNL,LAX,1
JFK,MSY,1
LAX,OGG,1
MDT,ATL,1
MSP,MSY,1
ALB,ATL,1
ATL,BDL,1
ATL,BNA,1
ATL,BOS,1
ATL,BWI,1
ATL,CLE,1
ATL,CMH,1
ATL,DCA,1
ATL,DTW,1
ATL,EWR,1
ATL,IAD,1
ATL,IND,1
ATL,JAX,1
ATL,JFK,1
ATL,LGA,1
ATL,MCI,1
ATL,MCO,1
ATL,MEM,1
ATL,MSY,1
ATL,PIT,1
ATL,RDU,1
ATL,RIC,1
ATL,SEA,1
ATL,SLC,1
ATL,STL,1
MKE,ATL,1
SFO,ATL,1
TPA,ATL,1
ABQ,LAX,1
