Source,Target
15454,20104
15454,20702
15454,20934
15454,20955
15454,21198
15454,21342
15454,21343
15454,21362
15454,21372
15454,21375
15454,21538
15454,21706
15454,21728
15454,21754
15454,21915
15454,21940
15454,21948
15454,21977
15454,22100
15454,22127
15454,22131
15454,22156
15454,29379
15454,29903
15454,31103
15616,20902
20104,20310
20104,20702
20104,20749
20104,20902
20104,20920
20104,20934
20104,20955
20104,21198
20104,21311
20104,21342
20104,21343
20104,21352
20104,21362
20104,21371
20104,21372
20104,21375
20104,21530
20104,21538
20104,21554
20104,21566
20104,21706
20104,21728
20104,21915
20104,21940
20104,21948
20104,21977
20104,22100
20104,22131
20104,22144
20104,22156
20104,29346
20104,29901
20104,29903
20104,31101
20104,31103
20119,20902
20119,21368
20119,22149
20119,31101
20122,31101
20136,21939
20136,22149
20310,20724
20310,20934
20310,21198
20310,21343
20310,21915
20310,21977
20310,22131
20310,29903
20504,20517
20504,20902
20504,21326
20504,21368
20504,21506
20504,21746
20504,21761
20504,21939
20504,21968
20504,22135
20504,22149
20504,29339
20504,29368
20504,31101
20517,20902
20517,21368
20517,21545
20517,21706
20517,21709
20517,21915
20517,31101
20519,20902
20529,20955
20529,21198
20529,21368
20529,21554
20529,21566
20529,21706
20529,21915
20529,21940
20529,22156
20702,20934
20702,21198
20702,21343
20702,21706
20702,21915
20702,21948
20702,21977
20702,22131
20702,29903
20706,21368
20706,21706
20706,21732
20706,21939
20706,21968
20706,22135
20706,22149
20724,20934
20724,21198
20724,21343
20724,21368
20724,21915
20724,21948
20724,21977
20724,29903
20724,31101
20749,20902
20749,20934
20749,20954
20749,21352
20749,21368
20749,21372
20749,21554
20749,21566
20749,21706
20749,21709
20749,21915
20749,21948
20749,29901
20749,29903
20749,31101
20757,20902
20757,21948
20902,20920
20902,21308
20902,21311
20902,21368
20902,21502
20902,21506
20902,21545
20902,21709
20902,21915
20902,21939
20902,21944
20902,21972
20902,21977
20902,21979
20902,22149
20902,29368
20902,31101
20920,20934
20920,21198
20920,21352
20920,21372
20920,21915
20920,21948
20920,29901
20920,29903
20927,21371
20927,21554
20927,21706
20927,21915
20927,21948
20927,29901
20927,29903
20934,20955
20934,21198
20934,21343
20934,21352
20934,21362
20934,21368
20934,21371
20934,21372
20934,21375
20934,21529
20934,21538
20934,21545
20934,21554
20934,21706
20934,21915
20934,21948
20934,21977
20934,22100
20934,22131
20934,22156
20934,29312
20934,29346
20934,29903
20952,21368
20952,21915
20952,21948
20952,22149
20954,21948
20955,21198
20955,21342
20955,21343
20955,21352
20955,21371
20955,21375
20955,21538
20955,21566
20955,21706
20955,21940
20955,21948
20955,21977
20955,22144
20955,22156
20955,29346
20955,29903
20955,31103
21198,21342
21198,21343
21198,21352
21198,21362
21198,21371
21198,21372
21198,21375
21198,21504
21198,21538
21198,21554
21198,21566
21198,21706
21198,21715
21198,21726
21198,21728
21198,21754
21198,21915
21198,21940
21198,21948
21198,21977
21198,22100
21198,22127
21198,22131
21198,22144
21198,22156
21198,29346
21198,29378
21198,29379
21198,29588
21198,29729
21198,29778
21198,29903
21198,31103
21303,21940
21308,22149
21308,31101
21311,21506
21311,21915
21311,21937
21311,21939
21311,21948
21311,21979
21311,22149
21311,29317
21311,31101
21326,21756
21326,21902
21326,21914
21326,21937
21326,21939
21326,21979
21326,22135
21340,21939
21340,22149
21342,21343
21342,21375
21342,21538
21342,21940
21342,22156
21342,29903
21342,31103
21343,21352
21343,21362
21343,21371
21343,21375
21343,21538
21343,21566
21343,21706
21343,21915
21343,21948
21343,21977
21343,22131
21343,22156
21343,29346
21343,29903
21352,21375
21352,21530
21352,21538
21352,21554
21352,21915
21352,21977
21352,22156
21352,29346
21352,29903
21352,31103
21362,21915
21362,21948
21362,21977
21362,22131
21362,29903
21368,21372
21368,21506
21368,21525
21368,21545
21368,21554
21368,21706
21368,21709
21368,21740
21368,21915
21368,21939
21368,21948
21368,21972
21368,21977
21368,21979
21368,22149
21368,29901
21368,29903
21368,31101
21371,21554
21371,21566
21371,21706
21371,21915
21371,21977
21371,22156
21371,29346
21371,29903
21371,31103
21372,21529
21372,21554
21372,21709
21372,21915
21372,21948
21372,21977
21372,22100
21372,22131
21372,29903
21375,21538
21375,21948
21375,21977
21375,22156
21375,29903
21375,31103
21502,31101
21504,21940
21506,21709
21506,21740
21506,21761
21506,21915
21506,21939
21506,21972
21506,21979
21506,22149
21506,29368
21506,31101
21529,21948
21529,21977
21529,29903
21530,29903
21538,21706
21538,21715
21538,21726
21538,21754
21538,21940
21538,21948
21538,22127
21538,22144
21538,22156
21538,29378
21538,29729
21538,29778
21538,29903
21538,31103
21545,21706
21545,21979
21545,22149
21545,29368
21545,31101
21548,31101
21554,21566
21554,21706
21554,21709
21554,21915
21554,21948
21554,22156
21554,29901
21554,29903
21554,31101
21566,21706
21566,21915
21566,21940
21566,22156
21566,29346
21566,29768
21566,29903
21566,31103
21706,21709
21706,21915
21706,21940
21706,21948
21706,21977
21706,22131
21706,22149
21706,22156
21706,29346
21706,29368
21706,29903
21709,21740
21709,21915
21709,21937
21709,21939
21709,21948
21709,22149
21709,29901
21709,31101
21715,22156
21726,21940
21726,22156
21728,21948
21728,22156
21740,21934
21740,21939
21740,21968
21740,31101
21746,21968
21746,22135
21754,21940
21754,22156
21756,21902
21756,21914
21756,21968
21761,22149
21761,31101
21762,21915
21902,21914
21902,21930
21902,21934
21902,21939
21902,21951
21902,21962
21902,21968
21912,21979
21914,21962
21914,21968
21914,21972
21914,21983
21915,21948
21915,21977
21915,22131
21915,22149
21915,22156
21915,29346
21915,29707
21915,29710
21915,29901
21915,29903
21915,31101
21919,21968
21930,21939
21937,21939
21937,21979
21937,22104
21937,29901
21937,31101
21939,21948
21939,21968
21939,21979
21939,22135
21939,22149
21939,31101
21940,22144
21940,22156
21940,29729
21940,29778
21940,29903
21940,31103
21944,21972
21944,22149
21948,21977
21948,22100
21948,22131
21948,22156
21948,29312
21948,29571
21948,29710
21948,29901
21948,29903
21948,31101
21968,21983
21968,22135
21968,22142
21972,21979
21972,22149
21972,29368
21972,29901
21972,31101
21977,22149
21977,29346
21977,29710
21977,29903
21977,31101
21977,39305
21979,22149
21979,29368
21979,31101
22100,22156
22100,29903
22127,22156
22131,29903
22135,22142
22135,22149
22144,22156
22144,31103
22149,29317
22149,29368
22149,29901
22149,31101
22156,29379
22156,29729
22156,29778
22156,29903
22156,31103
29312,29901
29317,31101
29346,29903
29346,31103
29368,31101
29710,29903
29901,29903
29901,31101
29903,31103
