icpsr,NAME,PARTY,STATE_NAME,LonX,LatY
22168,Marry Sattler Peltola,Democrat,Alaska,-152.56,64.23
22108,Jerry Carl,Republican,Alabama,-87.765,31.097
22140,Barry Moore,Republican,Alabama,-86.071,31.708
20301,Mike Rogers,Republican,Alabama,-85.707,33.156
29701,Robert B. Aderholt,Republican,Alabama,-87.2,34.12
21193,Mo Brooks,Republican,Alabama,-86.712,34.754
21500,Gary J. Palmer,Republican,Alabama,-86.713,33.263
21102,Terri A. Sewell,Democrat,Alabama,-87.625,32.444
21106,Eric A. “Rick” Crawford,Republican,Arkansas,-91.246,35.302
21503,J. French Hill,Republican,Arkansas,-92.391,35.091
21108,Steve Womack,Republican,Arkansas,-93.599,36.006
21563,Bruce Westerman,Republican,Arkansas,-93.213,34.226
21739,Tom O'Halleran,Democrat,Arizona,-110.735,34.985
20902,Ann Kirkpatrick,Democrat,Arizona,-109.957,31.927
20305,Raúl M. Grijalva,Democrat,Arizona,-112.444,32.366
21103,Paul A. Gosar,Republican,Arizona,-113.222,34.609
21705,Andy Biggs,Republican,Arizona,-111.715,33.338
21105,David Schweikert,Republican,Arizona,-111.89,33.667
21502,Ruben Gallego,Democrat,Arizona,-112.119,33.429
21757,Debbie Lesko,Republican,Arizona,-112.3,33.693
21968,Greg Stanton,Democrat,Arizona,-111.949,33.406
21302,Doug LaMalfa,Republican,California,-121.509,40.747
21303,Jared Huffman,Democrat,California,-123.434,40.144
20958,John Garamendi,Democrat,California,-122.095,39.037
20903,Tom McClintock,Republican,California,-119.937,37.988
29901,Mike Thompson,Democrat,California,-122.468,38.535
20538,Doris O. Matsui,Democrat,California,-121.479,38.595
21304,Ami Bera,Democrat,California,-121.219,38.482
22145,Jay Obernolte,Republican,California,-116.812,35.675
20702,Jerry McNerney,Democrat,California,-121.303,38.01
21930,Josh Harder,Democrat,California,-121.061,37.581
21504,Mark DeSaulnier,Democrat,California,-121.985,37.899
15448,Nancy Pelosi,Democrat,California,-122.435,37.763
29778,Barbara Lee,Democrat,California,-122.221,37.788
20762,Jackie Speier,Democrat,California,-122.376,37.524
21306,Eric Swalwell,Democrat,California,-121.824,37.644
20501,Jim Costa,Democrat,California,-120.531,37.112
21728,Ro Khanna,Democrat,California,-121.961,37.438
29312,Anna G. Eshoo,Democrat,California,-122.123,37.217
29504,Zoe Lofgren,Democrat,California,-121.586,37.207
21740,Jimmy Panetta,Democrat,California,-121.216,36.36
21307,David Valadao,Republican,California,-119.851,36.082
22164,Connie Conway,Republican,California,-119.389,36.487
20703,Kevin McCarthy,Republican,California,-118.537,35.615
21709,Salud O. Carbajal,Democrat,California,-120.095,35.013
21988,Mike Garcia,Republican,California,-118.284,34.587
21308,Julia Brownley,Democrat,California,-119.059,34.301
20955,Judy Chu,Democrat,California,-117.94,34.279
20104,Adam B. Schiff,Democrat,California,-118.291,34.25
21309,Tony Cárdenas,Democrat,California,-118.431,34.266
29707,Brad Sherman,Democrat,California,-118.545,34.203
21506,Pete Aguilar,Democrat,California,-117.354,34.11
29903,Grace F. Napolitano,Democrat,California,-117.915,34.09
21507,Ted Lieu,Democrat,California,-118.597,34.031
21754,Jimmy Gomez,Democrat,California,-118.228,34.075
21508,Norma J. Torres,Democrat,California,-117.588,34.047
21311,Raul Ruiz,Democrat,California,-115.72,33.747
21110,Karen Bass,Democrat,California,-118.364,34.017
20310,Linda T. Sánchez,Democrat,California,-118.062,33.941
22129,Young Kim,Republican,California,-117.84,33.938
29317,Lucille Roybal-Allard,Democrat,California,-118.178,33.969
21312,Mark Takano,Democrat,California,-117.308,33.917
29323,Ken Calvert,Republican,California,-117.226,33.679
29106,Maxine Waters,Democrat,California,-118.335,33.904
21703,Nanette Diaz Barragan,Democrat,California,-118.238,33.856
