icpsr,NAME,PARTY,STATE_NAME,LonX,LatY,district_code,state_abbrev,born,distance to center,betweenness,closeness
20301,Mike Rogers,Republican,Alabama,-85.707,33.156,3,AL,1958,360.1133015,7.283333333,0.75
21102,Terri A. Sewell,Democrat,Alabama,-87.625,32.444,7,AL,1965,536.6670667,4.507101086,0.622641509
21193,Mo Brooks,Republican,Alabama,-86.712,34.754,5,AL,1954,504.1883971,0,0.725274725
21500,Gary J. Palmer,Republican,Alabama,-86.713,33.263,6,AL,1954,454.4470868,0,0.725274725
22108,Jerry Carl,Republican,Alabama,-87.765,31.097,1,AL,1958,578.7793698,0,0.725274725
22140,Barry Moore,Republican,Alabama,-86.071,31.708,2,AL,1966,405.1226597,0,0.725274725
29701,Robert B. Aderholt,Republican,Alabama,-87.2,34.12,4,AL,1965,519.3171595,0,0.725274725
20316,Mario Diaz-Balart,Republican,Florida,-81.157,26.226,25,FL,1961,714.5290483,205.897619,0.942857143
20504,Debbie Wasserman Schultz,Democrat,Florida,-80.289,26.064,23,FL,1966,745.4582001,4.507101086,0.622641509
20708,Kathy Castor,Democrat,Florida,-82.478,28.041,14,FL,1966,512.024617,4.507101086,0.622641509
20709,Vern Buchanan,Republican,Florida,-82.301,27.527,16,FL,1951,567.4933911,0,0.725274725
20758,Gus M. Bilirakis,Republican,Florida,-82.431,28.281,12,FL,1963,485.0040935,0,0.725274725
20909,Bill Posey,Republican,Florida,-80.743,28.129,8,FL,1947,511.5145226,0,0.725274725
20959,,Vacant,Florida,-80.166,26.277,22,FL,1966,724.9497567,0,0.445945946
21116,Daniel Webster,Republican,Florida,-82.167,28.791,11,FL,1949,426.3984561,0,0.725274725
21118,Frederica S. Wilson,Democrat,Florida,-80.216,25.911,24,FL,1942,763.6068725,4.507101086,0.622641509
21321,Lois Frankel,Democrat,Florida,-80.167,26.546,21,FL,1948,695.8138125,4.507101086,0.622641509
21712,,Vacant,Florida,-82.722,27.85,13,FL,1956,536.0800967,0,0.445945946
21713,Val Butler Demings,Democrat,Florida,-81.511,28.544,10,FL,1957,454.6731398,4.507101086,0.622641509
21714,Neil P. Dunn,Republican,Florida,-84.13,30.078,2,FL,1953,352.8736274,0,0.725274725
21719,Matt Gaetz,Republican,Florida,-86.645,30.716,1,FL,1982,496.0486619,0,0.725274725
21732,"Al Lawson, Jr.",Democrat,Florida,-83.327,30.449,5,FL,1948,276.4392036,4.507101086,0.622641509
21735,Brian J. Mast,Republican,Florida,-80.415,27.127,18,FL,1980,627.2958412,0,0.725274725
21738,Stephanie N. Murphy,Democrat,Florida,-81.245,28.688,7,FL,1978,441.6189796,2.142857143,0.611111111
21744,John H. Rutherford,Republican,Florida,-81.655,30.357,4,FL,1952,252.6239273,0,0.725274725
21746,Darren Soto,Democrat,Florida,-81.285,28.035,9,FL,1978,513.1589464,4.507101086,0.622641509
21971,W. Gregory Steube,Republican,Florida,-81.528,27.244,17,FL,1978,598.7654866,0,0.725274725
21981,Mike Waltz,Republican,Florida,-81.301,29.179,6,FL,1974,386.8035181,7.283333333,0.75
22107,Kat Cammack,Republican,Florida,-82.059,29.678,3,FL,1988,327.3587616,0,0.725274725
22111,Byron Donalds,Republican,Florida,-81.83,26.464,19,FL,1978,684.4416378,0,0.725274725
22116,Scott Franklin,Republican,Florida,-81.977,28.199,15,FL,1964,491.532065,0,0.725274725
22118,Carlos Gimenez,Republican,Florida,-80.817,25.452,26,FL,1954,803.8863904,226.6119048,0.956521739
22150,Maria Elvira Salazar,Republican,Florida,-80.286,25.699,27,FL,1961,785.2981835,266.7121554,0.970588235
29337,Sheila Cherfilus-McCormick,Democrat,Florida,-80.58,26.448,20,FL,1936,698.0060872,0,0
20321,David Scott,Democrat,Georgia,-84.564,33.626,13,GA,1945,271.8773334,4.507101086,0.622641509
20712,Henry C. â€œHankâ€ Johnson Jr.,Democrat,Georgia,-84.05,33.697,4,GA,1954,233.0024721,4.507101086,0.622641509
21123,Austin Scott,Republican,Georgia,-83.453,31.78,8,GA,1969,173.0868312,0,0.725274725
21513,Earl L. â€œBuddyâ€ Carter,Republican,Georgia,-81.991,31.308,1,GA,1957,146.0100377,0,0.725274725
21514,Jody B. Hice,Republican,Georgia,-83.062,33.427,10,GA,1960,140.4904225,0,0.725274725
21515,Barry Loudermilk,Republican,Georgia,-84.651,34.191,11,GA,1963,309.1694121,0,0.725274725
21516,Rick W. Allen,Republican,Georgia,-82.221,32.411,12,GA,1951,37.6988942,0,0.725274725
21717,A. Drew Ferguson IV,Republican,Georgia,-84.733,33.148,3,GA,1966,270.6742714,0,0.725274725
21944,Lucy McBath,Democrat,Georgia,-84.345,34.01,6,GA,1960,274.563261,4.507101086,0.622641509
22104,Carolyn Bourdeaux,Democrat,Georgia,-84.083,34.042,7,GA,1970,256.9655694,19.37376775,0.634615385
22110,Andrew Clyde,Republican,Georgia,-83.687,34.506,9,GA,1963,267.0744918,0,0.725274725
22121,Marjorie Taylor Greene,Republican,Georgia,-85.095,34.433,14,GA,1974,358.02656,0,0.725274725
22156,Nikema Williams,Democrat,Georgia,-84.401,33.707,5,GA,1978,262.0586361,4.507101086,0.622641509
29339,Sanford D. Bishop Jr.,Democrat,Georgia,-84.411,31.821,2,GA,1947,252.0134477,4.507101086,0.622641509
15438,David E. Price,Democrat,North Carolina,-78.755,36.04,4,NC,1940,477.7265199,1.045238095,0.605504587
20340,G. K. Butterfield,Democrat,North Carolina,-77.491,36.009,1,NC,1947,553.3383212,3.295739348,0.61682243
20521,Virginia Foxx,Republican,North Carolina,-81.441,35.906,5,NC,1943,367.9591341,0,0.725274725
20522,Patrick T. McHenry,Republican,North Carolina,-80.586,36.095,10,NC,1975,404.9794962,0,0.725274725
21346,Richard Hudson,Republican,North Carolina,-79.54,35.293,8,NC,1971,368.6544074,0,0.725274725
21544,David Rouzer,Republican,North Carolina,-78.349,34.661,7,NC,1972,399.7433945,0,0.725274725
21545,Alma S. Adams,Democrat,North Carolina,-80.838,35.272,12,NC,1946,310.9357356,4.507101086,0.622641509
21708,Ted Budd,Republican,North Carolina,-79.794,35.911,13,NC,1971,414.1847423,0,0.725274725
21986,Dan Bishop,Republican,North Carolina,-79.698,34.902,9,NC,1964,325.5741359,0,0.725274725
21987,Gregory F. Murphy,Republican,North Carolina,-76.891,35.378,3,NC,1963,554.5267189,0,0.725274725
22109,Madison Cawthorn,Republican,North Carolina,-82.878,35.482,11,NC,1995,330.7626488,0,0.725274725
22135,Kathy Manning,Democrat,North Carolina,-79.88,36.081,6,NC,1956,427.4033272,4.507101086,0.622641509
22149,Deborah K. Ross,Democrat,North Carolina,-78.719,35.729,2,NC,1963,453.1633959,4.507101086,0.622641509
20138,Joe Wilson,Republican,South Carolina,-81.375,33.638,2,SC,1947,123.5332785,0,0.725274725
21174,Jeff Duncan,Republican,South Carolina,-82.339,34.356,3,SC,1966,197.3221797,0,0.725274725
21359,Tom Rice,Republican,South Carolina,-79.535,34.127,7,SC,1957,276.5529176,0,0.725274725
21753,Ralph Norman,Republican,South Carolina,-81.02,34.539,5,SC,1953,228.642045,0,0.725274725
21974,William R. Timmons IV,Republican,South Carolina,-82.172,34.941,4,SC,1984,259.3840291,0,0.725274725
22132,Nancy Mace,Republican,South Carolina,-80.158,32.794,1,SC,1977,164.4707663,191.7333333,0.929577465
39301,James E. Clyburn,Democrat,South Carolina,-80.525,33.226,6,SC,1940,145.2927832,4.507101086,0.622641509
