source,target,weight
BRR,CFNRV,1
BRR,FASWV,2
BRR,PG,4
BRR,CFNRV,3
BRR,FASWV,5
BRR,PG,6
BL,BL,3
BFM,CFM,2
BFM,PFI,1
BFM,VCE,2
BFM,VTFNP,4
BIFP,CFNRV,3
BIFP,FASWV,5
BIFP,MCCS,6
BIFP,NRCAM,3
BIFP,NRCAP,2
BIFP,GT,1
BIFP,MBP,2
BIFP,VCE,4
BBRP,CFNRV,3
BBRP,MBP,5
BBP,FASWV,6
CC,GYAP,3
CC,NRCAHS,2
CC,PFM,1
CL,CL,2
CFM,FARM,4
CFM,VCE,3
CFM,VTFNP,5
CFNRV,GG,6
CFNRV,GCM,3
CFNRV,IAJ,2
CFNRV,MCCS,1
CFNRV,NRCAG,2
CFNRV,NRCAHS,4
CFNRV,NRCAM,3
CFNRV,NRCC,5
CFNRV,NRFS,6
CFNRV,FARM,3
CFNRV,NRVCSF,2
CFNRV,NRVCSG,1
CFNRV,NRVCSM,2
CFNRV,NRVCSP,4
CFNRV,NRVCSR,3
CFNRV,NRVS,5
CFNRV,MBP,6
CFNRV,PLE,3
CFNRV,PFI,2
CFNRV,PG,1
CFNRV,RFDB,2
CFNRV,MBP,4
CFNRV,VICCC,3
CFNRV,VCE,5
CFNRV,VTK,6
CFNRV,WH,3
CFNRV,YMCA,2
DUMC,DUMC,1
EN,EN,2
EN,FASWV,4
EEBP,EEBP,3
ENTF,NRCAM,5
ENTF,NRCAP,6
FP,FP,3
FASWV,FASWV,2
FASWV,GB,1
FASWV,JC,2
FASWV,MCCS,4
FASWV,PLE,3
FASWV,PCOG,5
FASWV,RFDB,6
FASWV,SFP,3
FASWV,SR,2
FASWV,MBP,1
GG,GG,2
GG,GHF,4
GG,NRCAHS,3
GG,FARM,5
GG,PG,6
GG,VCE,3
GG,VTFNP,2
GG,YMCACG,1
GCM,HFC,2
GCM,NRCAG,4
GCM,NRCAM,3
GCM,NRCAP,5
GCM,MBP,6
GCM,UMCP,3
GYAP,NRVCSF,2
GYAP,NRVCSG,1
GYAP,NRVCSM,2
GYAP,NRVCSP,4
GYAP,NRVCSR,3
JC,NRCAHS,5
MCCS,NRCAHS,6
MCCS,NRCAM,3
MCCS,NRCAP,2
MCCS,NRFS,1
MCCS,NRVCSF,2
MCCS,NRVCSG,4
MCCS,NRVCSM,3
MCCS,NRVCSP,5
MCCS,NRVCSR,6
MCCS,SFP,3
MCCS,UW,2
MCCS,VCE,1
MCCS,WH,2
NRCAF,NRCAF,4
NRCAF,NRCAHS,3
NRCAF,UW,5
NRCAG,NRCAG,6
NRCAG,NRCAM,3
NRCAG,NRCAP,2
NRCAG,NRVCSF,1
NRCAG,NRVCSG,2
NRCAG,NRVCSM,4
NRCAG,NRVCSP,3
NRCAG,NRVCSR,5
NRCAG,UW,6
NRCAHS,NRCAM,3
NRCAHS,NRCAP,2
NRCAHS,MBP,1
NRCAHS,WH,2
NRCAM,NRCAM,4
NRCAM,NRCAP,3
NRCAP,UW,5
NRFS,UW,6
FARM,PFI,3
FARM,PG,2
FARM,MBP,1
FARM,VCE,2
FARM,YMCACG,4
NRVA,PLE,3
NRVA,VTK,5
PFM,PFM,6
PFM,VCE,3
PLE,GT,2
PLE,VCE,1
PFI,VCE,2
PG,VCE,4
RFDB,UW,3
RFDB,VTK,5
SFP,SFP,6
GT,GT,3
GT,WH,2
MBP,MBP,1
MBP,VICCC,2
MBP,VCE,4
MBP,VTK,3
MBP,WH,5
UW,UW,6
UW,WH,3
VCE,VCE,2
VCE,VTK,1
VCE,YMCACG,2
VTFNP,YMCACG,4
VTK,VTK,3
YMCA,YMCACG,5
