ID,LonX,LatY,centrality,dist_to_center,ORGANIZATION,SHORT
HH,-80.52155033,37.16109638,0.012,3.687817812,Helping Hands,Helping Hands
PFI,-80.49099736,37.20781206,0.014,4.491102695,Prices Fork Incubator Kitchen,PF Incubator
MBP,-80.46658944,37.21103277,0.004,4.850772858,"St. Michael's Lutheran Church, (Micah's)",Micah's
SR,-80.41831827,37.17471653,0.015,5.544366837,Spiritual Roots Community Food Bank,Spiritual Roots
FIE,-80.41763641,37.17613715,0.023,5.671860218,"Fieldstone Church, (The Giving Tree Food Pantry)",Fieldstone
GB,-80.41697482,37.17603415,0.003,5.770615101,Gethsemane Baptist Church,Gethsemane Bap
GT,-80.46679697,37.21999747,0.013,5.824946404,St Mary's Catholic Justice & Peace (The Glean Team),Glean Team
WH,-80.41947077,37.19728943,0.011,6.276941776,Warm Hearth Foundation,Warm Hearth
VICCC,-80.4495162,37.22268194,0.014,6.57951355,Valley Interfaith Child Care Center,VICCC
RFDB,-80.54285743,37.13573343,0.01,6.628725529,Radford-Fairlawn Daily Bread,RF Daily Bread
CFNRV,-80.40526282,37.14287995,0.057,7.26154232,Community Foundation of the New River Valley,CFNRV
MDSS,-80.41101362,37.13209064,0.017,7.378346443,Department of Social Services Montgomery,MDSS
NRCAR,-80.55665943,37.14083198,0.004,7.38241148,"New River Community Action, Radford",NRCAR
UW,-80.41082427,37.12836983,0,7.602631569,United Way of the New River Valley,United Way
CFM,-80.41032146,37.12919672,0.052,7.627581596,Christiansburg Farmers Market,Cburg FM
MCCS,-80.40938223,37.12894099,0.009,7.710382938,Montgomery County Christmas Store,MCCS
VTFNP,-80.424202,37.22293598,0.012,7.887331486,Virginia Tech Family Nutrition Program,VTFNP
MCEAP,-80.40429363,37.13058038,0.008,7.99249649,Montgomery County Emergency Assistance Program (MCEAP),MCEAP
NRCAM,-80.40427217,37.13059749,0.013,7.99249649,"New River Community Action, Montgomery",NRCAM
NRFS,-80.40427217,37.13058893,0.007,7.99249649,New River Family Shelter,NR Fam Shelter
VTK,-80.4341316,37.23086016,0.001,8.02620697,VT Campus Kitchen/ VT Engage,VT Kitchen
FARM,-80.40402654,37.12947049,0,8.045495987,"New River Health District, Farmacy Garden",Farmacy
NRVCSM,-80.43116357,37.23303271,0.012,8.438009262,"New River Valley Community Services, Montgomery",NRVCSM
